timestamp_ms,timestamp_iso,status,response_time_ms,http_code,error
1769439177189,2026-01-26T06:52:57.189,failure,0.49,,Connection error: [Errno 111] Connection refused
1769439177240,2026-01-26T06:52:57.240,failure,0.43,,Connection error: [Errno 111] Connection refused
1769439177290,2026-01-26T06:52:57.290,failure,0.39,,Connection error: [Errno 111] Connection refused
1769439177340,2026-01-26T06:52:57.340,failure,0.34,,Connection error: [Errno 111] Connection refused
1769439177391,2026-01-26T06:52:57.391,failure,0.35,,Connection error: [Errno 111] Connection refused
1769439177441,2026-01-26T06:52:57.441,failure,0.31,,Connection error: [Errno 111] Connection refused
1769439177491,2026-01-26T06:52:57.491,failure,0.39,,Connection error: [Errno 111] Connection refused
1769439177541,2026-01-26T06:52:57.541,failure,0.21,,Connection error: [Errno 111] Connection refused
1769439177591,2026-01-26T06:52:57.591,failure,0.14,,Connection error: [Errno 111] Connection refused
1769439177641,2026-01-26T06:52:57.641,failure,0.12,,Connection error: [Errno 111] Connection refused
1769439177692,2026-01-26T06:52:57.692,failure,0.13,,Connection error: [Errno 111] Connection refused
1769439177742,2026-01-26T06:52:57.742,failure,0.11,,Connection error: [Errno 111] Connection refused
1769439177792,2026-01-26T06:52:57.792,failure,0.10,,Connection error: [Errno 111] Connection refused
1769439177842,2026-01-26T06:52:57.842,failure,0.09,,Connection error: [Errno 111] Connection refused
1769439177892,2026-01-26T06:52:57.892,failure,0.10,,Connection error: [Errno 111] Connection refused
1769439177942,2026-01-26T06:52:57.942,failure,0.09,,Connection error: [Errno 111] Connection refused
1769439177992,2026-01-26T06:52:57.992,failure,0.08,,Connection error: [Errno 111] Connection refused
1769439178042,2026-01-26T06:52:58.042,failure,0.10,,Connection error: [Errno 111] Connection refused
1769439178092,2026-01-26T06:52:58.092,failure,0.11,,Connection error: [Errno 111] Connection refused
1769439178142,2026-01-26T06:52:58.142,failure,0.09,,Connection error: [Errno 111] Connection refused
1769439178192,2026-01-26T06:52:58.192,failure,0.08,,Connection error: [Errno 111] Connection refused
1769439178243,2026-01-26T06:52:58.243,failure,0.32,,Connection error: [Errno 111] Connection refused
1769439178293,2026-01-26T06:52:58.293,failure,0.25,,Connection error: [Errno 111] Connection refused
1769439178343,2026-01-26T06:52:58.343,failure,0.27,,Connection error: [Errno 111] Connection refused
1769439178393,2026-01-26T06:52:58.393,failure,0.14,,Connection error: [Errno 111] Connection refused
1769439178443,2026-01-26T06:52:58.443,failure,0.14,,Connection error: [Errno 111] Connection refused
1769439178493,2026-01-26T06:52:58.493,failure,0.24,,Connection error: [Errno 111] Connection refused
1769439178543,2026-01-26T06:52:58.543,failure,0.23,,Connection error: [Errno 111] Connection refused
1769439178593,2026-01-26T06:52:58.593,failure,0.24,,Connection error: [Errno 111] Connection refused
1769439178644,2026-01-26T06:52:58.644,failure,0.23,,Connection error: [Errno 111] Connection refused
1769439178694,2026-01-26T06:52:58.694,failure,0.24,,Connection error: [Errno 111] Connection refused
1769439178744,2026-01-26T06:52:58.744,failure,0.24,,Connection error: [Errno 111] Connection refused
