timestamp_ms,timestamp_iso,status,response_time_ms,http_code,error
1769440724875,2026-01-26T07:18:44.875,success,3.37,200,
1769440724925,2026-01-26T07:18:44.925,success,1.00,200,
1769440724975,2026-01-26T07:18:44.975,success,0.88,200,
1769440725026,2026-01-26T07:18:45.026,success,0.75,200,
1769440725076,2026-01-26T07:18:45.076,success,0.72,200,
1769440725126,2026-01-26T07:18:45.126,success,0.74,200,
1769440725176,2026-01-26T07:18:45.176,success,0.64,200,
1769440725226,2026-01-26T07:18:45.226,success,0.70,200,
1769440725276,2026-01-26T07:18:45.276,success,0.63,200,
1769440725326,2026-01-26T07:18:45.326,success,0.70,200,
1769440725377,2026-01-26T07:18:45.377,success,0.57,200,
1769440725427,2026-01-26T07:18:45.427,success,0.55,200,
1769440725477,2026-01-26T07:18:45.477,success,0.59,200,
1769440725527,2026-01-26T07:18:45.527,success,0.72,200,
1769440725577,2026-01-26T07:18:45.577,success,0.62,200,
1769440725627,2026-01-26T07:18:45.627,success,0.70,200,
1769440725677,2026-01-26T07:18:45.677,success,0.62,200,
1769440725727,2026-01-26T07:18:45.727,success,0.58,200,
1769440725778,2026-01-26T07:18:45.778,success,0.57,200,
1769440725828,2026-01-26T07:18:45.828,success,0.64,200,
1769440725878,2026-01-26T07:18:45.878,success,0.58,200,
1769440725928,2026-01-26T07:18:45.928,success,0.74,200,
1769440725978,2026-01-26T07:18:45.978,success,0.76,200,
1769440726028,2026-01-26T07:18:46.028,success,0.69,200,
1769440726078,2026-01-26T07:18:46.078,success,0.67,200,
1769440726129,2026-01-26T07:18:46.129,success,0.66,200,
1769440726179,2026-01-26T07:18:46.179,success,0.64,200,
1769440726229,2026-01-26T07:18:46.229,success,0.64,200,
1769440726279,2026-01-26T07:18:46.279,success,0.61,200,
1769440726329,2026-01-26T07:18:46.329,success,0.59,200,
1769440726379,2026-01-26T07:18:46.379,success,0.56,200,
1769440726429,2026-01-26T07:18:46.429,success,0.59,200,
1769440726479,2026-01-26T07:18:46.479,success,0.58,200,
1769440726530,2026-01-26T07:18:46.530,success,0.73,200,
1769440726580,2026-01-26T07:18:46.580,success,0.62,200,
1769440726630,2026-01-26T07:18:46.630,success,0.62,200,
1769440726680,2026-01-26T07:18:46.680,success,0.56,200,
1769440726730,2026-01-26T07:18:46.730,success,0.60,200,
1769440726780,2026-01-26T07:18:46.780,success,0.59,200,
1769440726830,2026-01-26T07:18:46.830,success,0.66,200,
1769440726881,2026-01-26T07:18:46.881,success,0.56,200,
1769440726931,2026-01-26T07:18:46.931,success,0.74,200,
1769440726981,2026-01-26T07:18:46.981,success,0.76,200,
1769440727031,2026-01-26T07:18:47.031,success,0.67,200,
1769440727081,2026-01-26T07:18:47.081,success,0.68,200,
1769440727131,2026-01-26T07:18:47.131,success,0.65,200,
1769440727181,2026-01-26T07:18:47.181,success,0.63,200,
1769440727231,2026-01-26T07:18:47.231,success,0.67,200,
1769440727282,2026-01-26T07:18:47.282,success,0.65,200,
1769440727332,2026-01-26T07:18:47.332,success,0.64,200,
1769440727382,2026-01-26T07:18:47.382,success,0.64,200,
1769440727432,2026-01-26T07:18:47.432,success,0.62,200,
1769440727482,2026-01-26T07:18:47.482,success,0.66,200,
1769440727532,2026-01-26T07:18:47.532,success,0.72,200,
1769440727582,2026-01-26T07:18:47.582,success,0.66,200,
1769440727633,2026-01-26T07:18:47.633,success,0.61,200,
1769440727683,2026-01-26T07:18:47.683,success,0.66,200,
1769440727733,2026-01-26T07:18:47.733,success,0.61,200,
1769440727783,2026-01-26T07:18:47.783,success,0.62,200,
1769440727833,2026-01-26T07:18:47.833,success,0.65,200,
1769440727883,2026-01-26T07:18:47.883,success,0.60,200,
1769440727933,2026-01-26T07:18:47.933,success,0.77,200,
1769440727983,2026-01-26T07:18:47.983,success,0.72,200,
1769440728034,2026-01-26T07:18:48.034,success,0.65,200,
1769440728084,2026-01-26T07:18:48.084,success,0.65,200,
1769440728134,2026-01-26T07:18:48.134,success,0.66,200,
1769440728184,2026-01-26T07:18:48.184,success,0.61,200,
1769440728234,2026-01-26T07:18:48.234,success,0.67,200,
1769440728284,2026-01-26T07:18:48.284,success,0.59,200,
1769440728334,2026-01-26T07:18:48.334,success,0.63,200,
1769440728385,2026-01-26T07:18:48.385,success,0.62,200,
1769440728435,2026-01-26T07:18:48.435,success,0.64,200,
1769440728485,2026-01-26T07:18:48.485,success,0.59,200,
1769440728535,2026-01-26T07:18:48.535,success,0.81,200,
1769440728585,2026-01-26T07:18:48.585,success,0.74,200,
1769440728635,2026-01-26T07:18:48.635,success,0.59,200,
1769440728685,2026-01-26T07:18:48.685,success,0.58,200,
1769440728735,2026-01-26T07:18:48.735,success,0.67,200,
1769440728786,2026-01-26T07:18:48.786,success,0.60,200,
1769440728836,2026-01-26T07:18:48.836,success,0.69,200,
1769440728886,2026-01-26T07:18:48.886,success,0.63,200,
1769440728936,2026-01-26T07:18:48.936,success,0.75,200,
1769440728986,2026-01-26T07:18:48.986,success,0.80,200,
1769440729036,2026-01-26T07:18:49.036,success,0.64,200,
1769440729086,2026-01-26T07:18:49.086,success,0.64,200,
1769440729137,2026-01-26T07:18:49.137,success,0.59,200,
1769440729187,2026-01-26T07:18:49.187,success,0.61,200,
1769440729237,2026-01-26T07:18:49.237,success,0.62,200,
